ID,Name,Brand,Actual Price,RAM_GB,Storage_GB,CPU_Tier,GPU_Tier,RAM_Score,Storage_Score,CPU_Score,GPU_Score,Price_Score
81,Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS (8GB - 512GB),Lenovo,309999,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,0.13200848589867764
82,HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS (8GB - 512GB),Hp,239999,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.47015661832812844
84,HP ProBook 450 G9 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB) International,Hp,259999,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,0.3735428662054282
85,Lenovo Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS (8GB - 1TB),Lenovo,219999,8,1024,Mid,NA,-0.28697659641168494,1.2600039873546187,2,0,0.5667703704508287
87,Lenovo V15 G3-Ci5 12th (8GB 512GB SSD),Lenovo,199999,512,512,Mid,NA,4.850978723301264,0.09098583019243638,2,0,0.6633841225735289
88,HP 250 G10 Raptor Lake 13th Gen Core i5 (8GB-512GB SSD),Hp,185000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.735839605977948
89,HP Probook 450 G10 13th Gen Core i7 (8GB-512GB),Hp,240000,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,0.4701517876405223
90,Lenovo ThinkBook 16 Ci3-1305U (8GB-512GB SSD),Lenovo,200000,8,8,Entry,NA,-0.28697659641168494,-1.059766418264087,1,0,0.6633792918859227
94,HP EliteBook 640 G10 13th Gen Core i7 14 inches (16GB-512GB),Hp,300000,16,512,Upper-Mid,NA,-0.205421750067035,0.09098583019243638,3,0,0.1803105312724216
95,Lenovo Ideapad Slim 3 13th Gen Core i7 DOS(16GB-512GB),Lenovo,200000,16,512,Upper-Mid,NA,-0.205421750067035,0.09098583019243638,3,0,0.6633792918859227
96,Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i5  (8GB - 512GB),Lenovo,250000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.4218449115791722
97,Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i5 (8GB - 512GB),Lenovo,250000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.4218449115791722
98,HP EliteBook 640 G10 13th Gen Core i5 14 inches (8GB-512GB),Hp,230000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.5184586637018724
100,HP Laptop 15-fd0356nia  Core™ i5 DOS (8GB-512GB),Hp,200000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.6633792918859227
101,Lenovo Yoga 7 2 in 1 16 - Intel Core Ultra 7 (16GB-1TB),Lenovo,370000,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,-0.1578376011570292
102,Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD),Dell,200000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.6633792918859227
104,ASUS EXPERTBOOK B1503CVA Ci7 1355U (16GB-512GB SSD),Asus,200000,16,16,Upper-Mid,NA,-0.205421750067035,-1.0415005095584278,3,0,0.6633792918859227
106,Lenovo ThinkBook 16 Ultra 7 255H (8GB-512GB SSD),Lenovo,280000,8,8,Upper-Mid,NA,-0.28697659641168494,-1.059766418264087,3,0,0.2769242833951218
107,HP OMEN 16-AE0073CL Ci7-14650HX (32GB - 1TB) RTX-4060-8GB,Hp,460000,32,1024,Upper-Mid,Upper-Mid,-0.042312057377735045,1.2600039873546187,3,2,-0.5925994857091802
109,Dell Latitude 5450 14th Gen Core Ultra 7 (8GB-512GB SSD),Dell,369999,8,8,Upper-Mid,NA,-0.28697659641168494,-1.059766418264087,3,0,-0.15783277046942304
110,DELL LATTITUDE 5550 14TH GEN Core Ultra 5 125U (8GB-512GB SSD),Dell,340000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,-0.012916972972978835
111,Lenovo IdeaPad Slim 5 2in1 Core i513420H (16GB-512GB) DOS,Lenovo,250000,16,512,Mid,NA,-0.205421750067035,0.09098583019243638,2,0,0.4218449115791722
113,ASUS Zenbook 14 UX3405C Intel Core Ultra 9 285H (32GB-1TB SSD),Asus,499999,32,1024,High,NA,-0.042312057377735045,1.2600039873546187,4,0,-0.7858221592669745
114,HP OMNIBOOK  X Flip 16-AS0023DX Core Ultra 7 256V (16GB 1TB SSD),Hp,290000,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,0.22861740733377173
115,LENOVO LEGION PRO 5 Ci9-14900HX (32GB-1TB SSD) RTX 4070 8GB,Lenovo,699999,32,1024,High,High,-0.042312057377735045,1.2600039873546187,4,3,-1.7519596804939768
116,Lenovo Legion Pro 5 Ultra 7-255HX (32GB-1TB SSD) RTX 5060 8GB,Lenovo,670000,32,1024,Upper-Mid,High,-0.042312057377735045,1.2600039873546187,3,3,-1.6070438829975326
117,ASUS TUF GAMING F17 FX707VU Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,Asus,375000,16,16,Upper-Mid,Mid,-0.205421750067035,-1.0415005095584278,3,1,-0.18199103918770423
118,ACER PREDATOR HELIOS 18 AI Core Ultra 9 275HX (64GB-1TB SSD) RTX 5080 16GB,Acer,1050000,64,1024,High,High,0.2839073280008648,1.2600039873546187,4,3,-3.442705173328837
119,ASUS ROG STRIX G16 G615JMR Ci7 14650HX (16GB-1TB SSD) RTX 5060 8GB,Asus,570000,16,1024,Upper-Mid,High,-0.205421750067035,1.2600039873546187,3,3,-1.1239751223840315
120,Asus Expertbook B1403CVA Ci7 13620H (16GB-1TB SSD),Asus,245000,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,0.44599834960984724
122,Lenovo ThinkPad T14 G6 Ultra 7 225U (16GB-512GB SSD),Lenovo,485000,16,16,Upper-Mid,NA,-0.205421750067035,-1.0415005095584278,3,0,-0.7133666758625555
124,ASUS TUF F16 FX608LM Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,Asus,600000,32,1024,High,High,-0.042312057377735045,1.2600039873546187,4,3,-1.2688957505680818
125,Asus VivoBook 15 x1504VA Ci5 1335U (8GB-512GB SSD),Asus,200000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.6633792918859227
126,Lenovo Legion 5 Ci9-14900HX (32GB-1TB SSD) RTX 5070 8GB,Lenovo,650000,32,1024,High,High,-0.042312057377735045,1.2600039873546187,4,3,-1.5104301308748322
127,HP Victus 15-FA2787NR Core i7-13620H Gaming Laptop (16GB-512GB SSD) RTX 5060 8GB,Hp,380000,16,16,Upper-Mid,High,-0.205421750067035,-1.0415005095584278,3,3,-0.20614447721837928
128,HP Victus 15-FA2209TX Ci7 14650HX (16GB-512GB SSD) RTX-4050-6GB,Hp,390000,16,16,Upper-Mid,Mid,-0.205421750067035,-1.0415005095584278,3,1,-0.2544513532797294
130,Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 256GB),Lenovo,249999,8,256,Upper-Mid,NA,-0.28697659641168494,-0.4935232483886548,3,0,0.4218497422667783
131,Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 1TB),Lenovo,254999,8,1024,Upper-Mid,NA,-0.28697659641168494,1.2600039873546187,3,0,0.39769630423610325
132,Lenovo ThinkPad X1 Carbon G12 Ultra 7 (32GB-512GB SSD),Lenovo,609999,32,32,Upper-Mid,NA,-0.042312057377735045,-1.0049686921471097,3,0,-1.3171977959418257
133,HP Pavilion 15 EG3020TX 15.6 Inches 13th Gen Core i7 Win 11 (16GB - 512GB),Hp,369999,16,512,Upper-Mid,NA,-0.205421750067035,0.09098583019243638,3,0,-0.15783277046942304
134,HP VICTUS 15-FA2093DX Ci7-13620H (16GB-1TB SSD) RTX 5060 8GB,Hp,539999,16,1024,Upper-Mid,High,-0.205421750067035,1.2600039873546187,3,3,-0.979049663512375
136,ASUS EXPERTBOOK B1503CVA Ci5-1334U (16GB -512GB SSD),Asus,200000,16,16,Mid,NA,-0.205421750067035,-1.0415005095584278,2,0,0.6633792918859227
137,ASUS TUF FX507VV-Ci7-13620H (16GB 1TB) RTX 4060 8GB,Asus,400000,16,1024,Upper-Mid,Upper-Mid,-0.205421750067035,1.2600039873546187,3,2,-0.30275822934107954
139,Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i7 (16GB - 512GB),Lenovo,300000,16,512,Upper-Mid,NA,-0.205421750067035,0.09098583019243638,3,0,0.1803105312724216
140,Lenovo ThinkPad E14 G5 13th Gen Core i5 1335u (8GB-512GB),Lenovo,290000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.22861740733377173
141,HP ProBook 460 G11 | Intel® Core™ Ultra 5 (16GB-512GB),Hp,250000,16,512,Mid,NA,-0.205421750067035,0.09098583019243638,2,0,0.4218449115791722
142,HP 15-FD0336TU Ci5-1334U (8GB-512GB SSD),Hp,190000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.7116861679472729
143,Dell Vostro 15 3530 Laptop Core™ i7-1355U (16GB-512GB),Dell,240000,16,512,Upper-Mid,NA,-0.205421750067035,0.09098583019243638,3,0,0.4701517876405223
144,Lenovo ThinkBook16 Ultra 5 225U (16GB-512GB SSD),Lenovo,230000,16,16,Mid,NA,-0.205421750067035,-1.0415005095584278,2,0,0.5184586637018724
154,Lenovo Thinkbook 14 G7 14th Gen Core Ultra 5 125U (8GB DDR5 512GB SSD),Lenovo,199999,512,512,Mid,NA,4.850978723301264,0.09098583019243638,2,0,0.6633841225735289
155,Lenovo Thinkbook 14 G7 14TH GEN Core Ultra 7 155H (8GB-512GB SSD),Lenovo,239999,8,8,Upper-Mid,NA,-0.28697659641168494,-1.059766418264087,3,0,0.47015661832812844
157,Lenovo ThinkPad E14 G6 Intel Core Ultra 5 125U (8GB-512GB SSD),Lenovo,250000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.4218449115791722
158,Acer Nitro V15 13th Gen Core i9 13900H (16GB-512GB SSD),Acer,325000,16,16,High,NA,-0.205421750067035,-1.0415005095584278,4,0,0.059543341119046335
159,Apple Macbook Pro M3 A2918 (8GB-512GB SSD),Apple,600000,8,8,High,NA,-0.28697659641168494,-1.059766418264087,4,0,-1.2688957505680818
161,Lenovo IdeaPad Slim 5 Core i7 13620H DOS (16GB-512GB SSD),Lenovo,229999,16,16,Upper-Mid,NA,-0.205421750067035,-1.0415005095584278,3,0,0.5184634943894786
162,ASUS ExpertBook B1502CV 13th Gen Core i5 1355U (8GB-512GB SSD),Asus,179999,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.7599978746962291
163,Lenovo Yoga 9 Intel Core Ultra 7 (16GB-1TB SSD),Lenovo,449999,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,-0.544287778960224
164,Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5080 16GB 240Hz,Lenovo,1499900,64,2048,High,High,0.2839073280008648,3.5980403016789837,4,3,-5.616031527328979
165,Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5090 24GB 240Hz,Lenovo,1599900,64,2048,High,High,0.2839073280008648,3.5980403016789837,4,3,-6.09910028794248
