"ID","Name","Discounted Price","Actual Price","Saving","Rating","Reviews","Brand","Core","SSD","Model","Has_GPU","GPU_Family","GPU_Model","GPU_Tier","CPU_Text","CPU_Brand","CPU_Tier","RAM_GB","Storage_GB"
211,"HP VICTUS 15-FA2013DX Ci5-13420H (8GB 512GB SSD) RTX 3050 6GB",195999,249900,"22% OFF",NA,NA,"Hp",NA,"512GB SSD","VICTUS 15-FA2013DX Ci5-13420H  RTX 3050 6GB",TRUE,"RTX",3050,"Mid","HP VICTUS 15-FA2013DX Ci5-13420H (8GB 512GB SSD) RTX 3050 6GB","Intel","Mid",512,512
212,"HP VICTUS 15-FA2701WM Ci5-13420H (16GB-512GB SSD) RTX 4050 6GB",233999,275999,"15% OFF",NA,NA,"Hp",NA,"16GB-512GB SSD","VICTUS 15-FA2701WM Ci5-13420H  RTX 4050 6GB",TRUE,"RTX",4050,"Mid","HP VICTUS 15-FA2701WM Ci5-13420H (16GB-512GB SSD) RTX 4050 6GB","Intel","Mid",16,16
213,"ACER PREDATOR HELIOS 16 AI Core Ultra 9 275HX (32GB-1TB SSD) RTX 5070Ti 12GB",684999,724000,"5% OFF",NA,NA,"Acer","Ultra 9",NA,"PREDATOR HELIOS 16 AI Core Ultra 9 275HX  RTX 5070Ti 12GB",TRUE,"RTX",5070,"High","Ultra 9","Intel","High",32,1024
214,"ASUS EXPERTBOOK B1403CVA Ci5 1334U (16GB-512GB SSD)",153999,2e+05,"23% OFF",NA,NA,"Asus",NA,"16GB-512GB SSD","EXPERTBOOK B1403CVA Ci5 1334U",FALSE,NA,NA,NA,"ASUS EXPERTBOOK B1403CVA Ci5 1334U (16GB-512GB SSD)","Intel","Mid",16,16
215,"Lenovo ThinkPad E14 G8 U7-255H (16GB-512GB SSD)",289999,350000,"17% OFF",NA,NA,"Lenovo",NA,"16GB-512GB SSD","ThinkPad E14 G8 U7-255H",FALSE,NA,NA,NA,"Lenovo ThinkPad E14 G8 U7-255H (16GB-512GB SSD)",NA,NA,16,16
216,"Lenovo ThinkPad E16 G3 Ultra 5 225U (8GB-512GB SSD)",224999,3e+05,"25% OFF",NA,NA,"Lenovo","Ultra 5","8GB-512GB SSD","ThinkPad E16 G3 Ultra 5 225U",FALSE,NA,NA,NA,"Ultra 5","Intel","Mid",8,8
217,"Dell Alienware Aurora 16 Core 7 240H (16GB-512GB SSD) RTX 5050 8GB",349999,4e+05,"13% OFF",NA,NA,"Dell",NA,"16GB-512GB SSD","Alienware Aurora 16 Core 7 240H  RTX 5050 8GB",TRUE,"RTX",5050,"High","Dell Alienware Aurora 16 Core 7 240H (16GB-512GB SSD) RTX 5050 8GB","Intel",NA,16,16
218,"Dell Latitude 3550 Ultra 5-125U (8GB-512GB SSD)",197999,250000,"21% OFF",NA,NA,"Dell","Ultra 5","8GB-512GB SSD","Latitude 3550 Ultra 5-125U",FALSE,NA,NA,NA,"Ultra 5","Intel","Mid",8,8
219,"Asus VivoBook 16 M1605YA Ryzen 7-7730U (8GB-512GB SSD)",179999,215000,"16% OFF",NA,NA,"Asus","M1","8GB-512GB SSD","VivoBook 16 M1605YA Ryzen 7-7730U",FALSE,NA,NA,NA,"M1","Apple","Mid",8,8
220,"Dell Alienware 16 Aurora Core 7-240H (32GB-1TB SSD) RTX 5060 8GB",440999,480000,"8% OFF",NA,NA,"Dell",NA,NA,"Alienware 16 Aurora Core 7-240H  RTX 5060 8GB",TRUE,"RTX",5060,"High","Dell Alienware 16 Aurora Core 7-240H (32GB-1TB SSD) RTX 5060 8GB","Intel",NA,32,1024
